shipment_id,delivery_id,order_id,customer_id,carrier_name,shipping_point,shipment_date,shipment_status,route,shipping_type
2001001,1001001,1000001,CUST001,Carrier1,SP001,2025-02-10,In Transit,1,Standard
2001002,1001002,1000002,CUST002,Carrier2,SP002,2025-02-11,Delivered,2,Express
2001003,1001003,1000003,CUST003,Carrier1,SP001,2025-02-12,In Transit,3,Standard
2001004,1001004,1000004,CUST004,Carrier3,SP003,2025-02-13,Delivered,4,Express
2001005,1001005,1000005,CUST005,Carrier1,SP001,2025-02-14,In Transit,5,Standard
2001006,1001006,1000006,CUST006,Carrier2,SP002,2025-02-15,Delivered,6,Express
2001007,1001007,1000007,CUST007,Carrier3,SP003,2025-02-16,In Transit,7,Standard
2001008,1001008,1000008,CUST008,Carrier1,SP001,2025-02-17,Delivered,8,Express
2001009,1001009,1000009,CUST009,Carrier2,SP002,2025-02-18,In Transit,9,Standard
2001010,1001010,1000010,CUST010,Carrier3,SP003,2025-02-19,Delivered,10,Express
2001011,1001011,1000011,CUST011,Carrier1,SP001,2025-02-20,In Transit,11,Standard
2001012,1001012,1000012,CUST012,Carrier2,SP002,2025-02-21,Delivered,12,Express
2001013,1001013,1000013,CUST013,Carrier3,SP003,2025-02-22,In Transit,13,Standard
2001014,1001014,1000014,CUST014,Carrier1,SP001,2025-02-23,Delivered,14,Express
2001015,1001015,1000015,CUST015,Carrier2,SP002,2025-02-24,In Transit,15,Standard
2001016,1001016,1000016,CUST016,Carrier3,SP003,2025-02-25,Delivered,16,Express
2001017,1001017,1000017,CUST017,Carrier1,SP001,2025-02-26,In Transit,17,Standard
2001018,1001018,1000018,CUST018,Carrier2,SP002,2025-02-27,Delivered,18,Express
2001019,1001019,1000019,CUST019,Carrier3,SP003,2025-02-28,In Transit,19,Standard
2001020,1001020,1000020,CUST020,Carrier1,SP001,2025-03-01,Delivered,20,Express
